"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000269210.2",6.46907608710158,5.47559332904236,0.243232930927348,22.5117269613377,3.18615126924674e-112,1.26314967069287e-107
"ENSG00000066923.17",341.972657919851,4.6292807966299,0.212962179565996,21.7375723993062,9.05637629171457e-105,1.79520019042512e-100
"ENSG00000102387.16",62.9523673041094,5.81344066501015,0.268881083414561,21.6208615019859,1.1432334779062e-103,1.51078304105305e-99
"ENSG00000077935.17",185.45548092667,5.90548939663905,0.286061898188339,20.6440963792772,1.10305931582405e-94,1.09326966439611e-90
"ENSG00000105278.12",82.5778804449371,6.51713521702153,0.32436583759102,20.0919285009253,8.68234269311956e-90,6.8842295213745e-86
"ENSG00000151164.19",48.25427641361,2.79093125452332,0.140923191359815,19.8046270992922,2.71566089185188e-87,1.79437293429113e-83
"ENSG00000163239.12",56.031396490043,4.47708850854357,0.24793718850167,18.0573496682746,6.90596443164685e-73,3.91124228418056e-69
"ENSG00000164900.4",10.8724898886633,6.94842085086192,0.387065229579518,17.9515500744157,4.66694391590179e-72,2.31276239432408e-68
"ENSG00000161509.14",60.1306723323415,3.04129152295728,0.1747729119573,17.4013895454252,8.05256170740846e-68,3.54715343211343e-64
"ENSG00000238098.9",67.2879784403898,4.98313151792949,0.287965447684853,17.3046160849929,4.34165509855584e-67,1.72124916382246e-63
"ENSG00000176563.10",34.0546189625723,3.18054117031024,0.184707082375484,17.2193785392844,1.90017523120266e-66,6.84840427645722e-63
"ENSG00000176919.13",62.157595167448,4.05586370158165,0.236793164024678,17.1282972559079,9.12875607212952e-66,3.01591278732979e-62
"ENSG00000141956.14",724.849813448101,1.26479204526491,0.0738850476531475,17.1183762539135,1.08252957637276e-65,3.30129885040754e-62
"ENSG00000196074.13",425.076360860716,4.64146242097788,0.271898451004111,17.0705732373139,2.4577481552543e-65,6.95981611536119e-62
"ENSG00000117748.10",2623.73047316617,1.2445267213364,0.0761333318810068,16.3466735342877,4.59382975658977e-60,1.21414920466668e-56
"ENSG00000168070.12",12.4776475431286,5.07228515424777,0.314699676006531,16.1178594735589,1.9111518489626e-58,4.73547594075764e-55
"ENSG00000100024.15",46.321016013335,4.5225880502401,0.282245748988975,16.0235825214032,8.74626314101692e-58,2.03968001309186e-54
"ENSG00000100285.10",318.011863119977,4.90728487424171,0.309413521693028,15.8599561111304,1.19977699500171e-56,2.64250883149127e-53
"ENSG00000157060.16",13.6533149878423,6.72824399575982,0.427895393043584,15.7240393449959,1.03508849901439e-55,2.1597938707066e-52
"ENSG00000161860.8",22.0077571777779,2.92344913275329,0.187264587248583,15.6113292732308,6.09536790395688e-55,1.20825430276185e-51
"ENSG00000132016.11",274.054081683243,2.43684302711529,0.156704239080138,15.5505877914962,1.57652256136036e-54,2.97624937833959e-51
"ENSG00000198963.11",273.161309781875,4.80393389501673,0.311889463901811,15.4026809207287,1.57021986178579e-53,2.82960756456808e-50
"ENSG00000156414.19",107.017925781954,4.51207370975184,0.294081123732491,15.3429558908249,3.94800581220607e-53,6.80516045325694e-50
"ENSG00000118156.12",138.995461321109,4.94682820572877,0.32754234284789,15.1028662820125,1.55044473122115e-51,2.56114089038594e-48
"ENSG00000039600.11",82.8782550875023,3.95924377398426,0.264136060720492,14.9894102425262,8.61144777361531e-51,1.36560338793992e-47
"ENSG00000100350.15",2763.41905708115,1.92109176117919,0.129989804219447,14.7787880189128,2.00746033522456e-49,3.060990961153e-46
"ENSG00000231561.2",2.9092679287724,5.0300482253531,0.347242227976283,14.4857042723982,1.49185675063489e-47,2.19054299551556e-44
"ENSG00000173404.5",83.6158497110198,5.59156448048842,0.386717374889324,14.4590464343338,2.19822127582847e-47,3.11244580286499e-44
"ENSG00000123080.12",1272.9336619685,2.30771097483948,0.165451280181983,13.9479789597347,3.23647202686344e-44,4.42448046568969e-41
"ENSG00000172247.4",12.9526013292657,3.92659179285221,0.286613696898333,13.6999446828427,1.01601670906512e-42,1.34266608102956e-39
"ENSG00000109832.14",10.6593645523592,4.36499473902389,0.318901968657421,13.6875753931547,1.20462193683144e-42,1.54055602211879e-39
"ENSG00000167077.13",356.291490472699,3.31986458845192,0.243163949869523,13.6527827839337,1.94314069956068e-42,2.40736915731509e-39
"ENSG00000128408.9",168.855677436109,2.63415821957902,0.193991674176378,13.5787179050995,5.3555691365192e-42,6.43398601264557e-39
"ENSG00000105486.14",2285.05896201863,1.27766577252772,0.0944976209332362,13.520613110783,1.18186678690233e-41,1.37809143431596e-38
"ENSG00000197993.9",112.19182449938,5.11657573540538,0.379857642136274,13.4697190943175,2.35761231611638e-41,2.67050115064097e-38
"ENSG00000232434.2",183.239367246911,2.01518211609266,0.152312783975048,13.2305513923427,5.84569377054342e-40,6.43757026481094e-37
"ENSG00000255571.9",486.954279522779,3.50237052536827,0.266360617722697,13.1489803384317,1.72484741937175e-39,1.84815070110792e-36
"ENSG00000228716.7",938.351885660337,1.5484301240255,0.117919976779522,13.1311942752553,2.18188099517453e-39,2.27633347509722e-36
"ENSG00000149243.16",120.959603572823,3.08670572732847,0.236507818776881,13.0511783639611,6.25720394469451e-39,6.36068847147215e-36
"ENSG00000186075.13",9.50546900133746,6.34651390929186,0.490013925977213,12.9517011106068,2.29804595300594e-38,2.27765079517302e-35
"ENSG00000056736.10",132.320586918361,2.00398110509517,0.155916720340554,12.8528941650265,8.28514839479246e-38,8.01133434418407e-35
"ENSG00000180336.18",23.9107626556534,2.27975615248153,0.17750337972745,12.8434520851491,9.3605522527614e-38,8.83569271573157e-35
"ENSG00000215883.10",234.716850267567,1.51649246353955,0.11820665708728,12.8291629330133,1.12573843977878e-37,1.03790466151232e-34
"ENSG00000214694.12",25.6099648980538,2.9554635407751,0.234409212853497,12.6081373031282,1.90440904727583e-36,1.71591583361933e-33
"ENSG00000178803.12",16.247447874318,3.24857181836332,0.264488489097543,12.2824695677597,1.12510591096826e-34,9.29267163340349e-32
"ENSG00000232363.1",3.9961619035294,3.23626416528809,0.263735358425231,12.2708770815255,1.29839187088746e-34,1.05050501472108e-31
"ENSG00000233223.3",244.566977357572,1.62731309122378,0.132942263746411,12.240750573707,1.88283345145129e-34,1.49289864365573e-31
"ENSG00000240280.7",81.7319937844825,4.55138658225337,0.372952067963766,12.2036770223662,2.97098232614882e-34,2.3095018494151e-31
"ENSG00000177842.12",65.2261930898245,1.91983292190563,0.15748664113113,12.1904493493331,3.49488962912997e-34,2.61424338390298e-31
"ENSG00000180998.12",63.7026002304208,1.9782682031423,0.162889047955055,12.1448816109979,6.10709262152371e-34,4.32349441036263e-31
"ENSG00000260077.1",121.247870304312,1.72048400853832,0.141857387715769,12.1282651276897,7.48176798394072e-34,5.20376652146193e-31
"ENSG00000231453.1",45.5360635347517,4.42532942906931,0.365183096718926,12.118111349703,8.46882530003348e-34,5.78873412103151e-31
